Project Title,Application ID,Project Start Date,Project End Date,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,Total Cost IC
Mechanisms regulating the early stages of UV-induced skin cancer,10129959,4/1/2018 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021,362250, ,NIEHS,225000,137250,362250
Cyclin-dependent kinase control of cell-division and transcription cycles,10130553,4/1/2018 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021,464704, ,NIGMS,275000,189704,464704
Endothelial Toll-like Receptor 3 in the pathogenesis and therapy of Pulmonary Arterial Hypertension,10130598,1/1/2019 0:00,12/31/2022 0:00,Non-SBIR/STTR,2021,593180, ,NHLBI,438494,154686,593180
Transcriptional mechanisms of natural killer cell responses during mouse cytomegalovirus infection,10131106,5/6/2019 0:00,4/30/2024 0:00,Non-SBIR/STTR,2021,453462, ,NIAID,296420,157042,453462
Sensitization to Chemoradiation by Therapeutic Targeting of the DNA Damage Response,10131143,4/1/2017 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021,582111, ,NCI,465669,249013,582111
Identification of Lethal Melanomas at the Time of Diagnosis,10131152,4/1/2020 0:00,3/31/2025 0:00,Non-SBIR/STTR,2021,918430, ,NCI,718262,200168,918430
Roles and Regulation of wild-type and mutant forms of p53,10132244,9/30/2000 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021,1885586, ,NCI,1606930,278656,1885586
Project 1: Roles of wild-type and mutant forms of p53 in cancer cell biology,10132245,9/30/2000 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021, ,338839, ,211775,127064, 
Identification of non-coding RNAs to therapeutically target undruggable pathways in metastatic lung adenocarcinoma and squamous cell carcinoma,10132250,9/1/2016 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021,938802, ,NCI,545815,392987,938802
Project 2: Probing the role of the p53 network in ferroptosis,10132251,9/30/2000 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021, ,352899, ,221342,131557, 
Project 4: Mechanisms of wild-type and mutant p53 action in vivo,10132253,9/30/2000 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021, ,355831, ,355831,0, 
Core B -The Bio-Informatics Core,10132257,9/30/2000 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021, ,186032, ,186032,0, 
Core C - The Molecular Systems Pathology Core,10132258,9/30/2000 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021, ,247698, ,247698,0, 
Vulnerability of SCLC based on bi-allelic genetic inactivation of RB1 and TP53,10132266,4/12/2019 0:00,3/31/2024 0:00,Non-SBIR/STTR,2021,455018, ,NCI,272466,182552,455018
Novel role of Ezh2 in age-related gastric motility dysfunctions,10133065,4/1/2020 0:00,3/31/2024 0:00,Non-SBIR/STTR,2021,357750, ,NIDDK,225000,132750,357750
"Dissecting the dynamic interplay between p53, chromatin and transcriptional bursting in single cells",10133087,4/1/2018 0:00,7/31/2022 0:00,Non-SBIR/STTR,2021,334000, ,NIGMS,200000,134000,334000
Three-Dimensional Organoid Cultures to Investigate 3q26 Driver Functions in Multiple Lung Cancer Cells of Origin,10134075,4/2/1999 0:00,6/30/2023 0:00,Non-SBIR/STTR,2020,53210, ,NCI,34000,19210,53210
Defining Mechanisms of Transformation Driven By the Zinc Finger Transcription Factor PLAGL2 in the Intestinal Epithelium,10134266,4/1/2019 0:00,3/31/2024 0:00,Non-SBIR/STTR,2021,360281, ,NCI,228750,131531,360281
DNA Methylation Inhibitor Therapy for Testicular Cancer,10135500,5/1/2018 0:00,4/30/2023 0:00,Non-SBIR/STTR,2020,52308, ,NCI,38733,13575,52308
Investigating Max as a tumor suppressor gene in small cell lung cancer and other neuroendocrine tumors,10135882,5/1/2020 0:00,3/31/2022 0:00,Non-SBIR/STTR,2021,407812, ,NCI,231711,176101,407812
The DREAM B-Myb-MuvB complex controls sensitivity to DNA replication activators and inhibitors,10136185,8/1/2019 0:00,7/31/2022 0:00,Non-SBIR/STTR,2020,90877, ,NCI,51343,39534,90877
Molecular mechanisms underlying lineage plasticity in prostate cancer,10136560,4/15/2020 0:00,3/31/2025 0:00,Non-SBIR/STTR,2021,594606, ,NCI,341018,253588,594606
Investigating the Role of Metabolic Reprogramming in Cancer Cell Death Sensitivity,10139485,4/3/2020 0:00,3/31/2024 0:00,Other Research-Related,2020,89100, ,NCI,82500,6600,89100
Altered mRNA splicing dependent on mutant p53 identifies novel therapeutic vulnerability in pancreatic cancer,10139560,6/1/2020 0:00,5/31/2023 0:00,Non-SBIR/STTR,2020,249000, ,NCI,152522,96478,249000
DNA Methylation Inhibitor Therapy for Testicular Cancer,10140304,5/1/2018 0:00,4/30/2023 0:00,Non-SBIR/STTR,2021,513005, ,NCI,387727,125278,513005
The role and regulation of p53 in obesity-induced liver cancer,10140572,1/1/2021 0:00,12/31/2023 0:00,"Training, Individual",2021,66390, ,NCI,66390, ,66390
Targeted Chemical-Genetic Screen Platform for Identifying Novel AML Therapeutics,10140623,6/1/2021 0:00,5/31/2024 0:00,"Training, Individual",2021,48591, ,NCI,48591, ,48591
Functional Analysis of p53 Polymorphic Variants,10141456,6/1/2005 0:00,11/30/2025 0:00,Non-SBIR/STTR,2021,391227, ,NCI,213750,177477,391227
Telomerase-Mediated Healing of Double-Strand Breaks in Human Cells,10141463,1/1/2021 0:00,12/31/2024 0:00,"Training, Individual",2021,51036, ,NCI,51036, ,51036
Impact of the Breast Cancer Immune Microenvironment on Racial Disparities and Survivorship,10141571,3/1/2021 0:00,2/28/2023 0:00,"Training, Individual",2021,37102, ,NCI,37102, ,37102
Role of FOXO transcription factor dynamics in determining cellular fates,10141680,7/1/2021 0:00,1/21/2022 0:00,"Training, Individual",2021,37157, ,NIGMS,37157,0,37157
ATF3 Regulation of Histone Acetylation in Genome Maintenance,10143212,4/10/2020 0:00,3/31/2026 0:00,Non-SBIR/STTR,2021,352275, ,NCI,228750,123525,352275
"Markov State Model approaches for folding, binding and design",10143638,5/1/2017 0:00,4/30/2022 0:00,Non-SBIR/STTR,2020,99714, ,NIGMS,88599,11115,99714
Feasibility study of developing SEAK-114 for the treatment of pediatric cancers,10144288,9/16/2020 0:00,12/31/2022 0:00,SBIR/STTR,2020,399964, ,NCI, , ,399964
New Strategies for Treatment of NRAS Mutant Melanoma after Progression on Immune Checkpoint Inhibitors,10144940,8/19/2005 0:00,3/31/2025 0:00,Non-SBIR/STTR,2021,379970, ,NCI,260565,119405,379970
Driving Biomedical Projects,10145022,8/1/2015 0:00,5/31/2025 0:00,Research Centers,2021, ,327789, ,205510,122279, 
"Markov State Model approaches for folding, binding and design",10146412,5/1/2017 0:00,4/30/2022 0:00,Non-SBIR/STTR,2021,295617, ,NIGMS,190000,105617,295617
Arming Oncolytic HSV Vectors to Induce Anti-GBM Immune Responses in Syngeneic Mice,10148714,6/7/2018 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,398001, ,NCI,292951,105050,398001
NOTCH signaling controls transformation to androgen independent neuroendocrine prostate cancer,10148735,5/22/2019 0:00,4/30/2024 0:00,Non-SBIR/STTR,2021,577631, ,NCI,380743,196888,577631
Project 4 - Controlling the Latent-to-Lytic Switch in Epstein-Barr Virus,10149958,2/1/1997 0:00,4/30/2023 0:00,Non-SBIR/STTR,2021, ,389461, ,254437,135024, 
TP53 Germline Mutations: Beyond LFS,10151546,10/15/2019 0:00,4/30/2023 0:00,Non-SBIR/STTR,2021,366000, ,NCI,228750,137250,366000
A MULTISCALE APPROACH TO TARGET THE ACHILLES HEEL OF P53 CANCER MUTANTS (Equipment Supplement),10153341,4/1/2019 0:00,3/31/2023 0:00,Non-SBIR/STTR,2020,84000, ,NIGMS,84000,0,84000
"Mechanisms of PIDDosome Signaling, a p53-Independent Apoptotic Response to DNA Damage",10153709,7/5/2013 0:00,5/31/2024 0:00,Non-SBIR/STTR,2021,346946, ,NCI,204688,142258,346946
Roles and mechanisms of cis-regulatory IncRNAs in the p53 tumor suppressor pathway,10153726,6/1/2018 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,359545, ,NCI,214654,144891,359545
Investigating the Role of Metabolic Reprogramming in Cancer Cell Death Sensitivity,10153740,4/3/2020 0:00,3/31/2024 0:00,Other Research-Related,2021,92113, ,NCI,85290,6823,92113
Identifying EZH2-dependent vulnerabilities in RB deficient prostate cancer,10154294,5/25/2021 0:00,8/31/2023 0:00,Non-SBIR/STTR,2021,195173, ,NCI,116870,78303,195173
Cell lineage determinants of p53-driven fate outcomes in vivo,10154750,12/9/2020 0:00,11/30/2025 0:00,Non-SBIR/STTR,2021,667823, ,NCI,431334,236489,667823
Non-Canonical Phosphatidylinositol Kinases in Triple Negative Breast Cancer,10155445,6/1/2020 0:00,5/31/2025 0:00,Non-SBIR/STTR,2021,446063, ,NCI,228750,217313,446063
Comprehensive genomic profiling of aggressive hormone sensitive prostate cancer,10155449,5/1/2020 0:00,4/30/2025 0:00,Non-SBIR/STTR,2021,577920, ,NCI,433159,144761,577920
New Approaches to Modeling and Targeting Cyclin E-amplified High-Grade Serous Tubo-Ovarian Carcinoma,10156048,12/10/2020 0:00,11/30/2025 0:00,Non-SBIR/STTR,2021,703320, ,NCI,414938,288382,703320
Investigating immune-microbiota interaction in lung cancer,10156469,7/1/2020 0:00,6/30/2023 0:00,Non-SBIR/STTR,2020,249000, ,NCI,165856,83144,249000
Functional characterization of 2q22.1 deletion in oral squamous cell carcinoma,10157178,9/2/2020 0:00,9/1/2024 0:00,"Training, Individual",2020,41680, ,NIDCR,41680, ,41680
Targeting lung tumors expressing mutant p53 with oncolytic viruses and suicide genes,10159871,7/1/2020 0:00,6/30/2025 0:00,Non-SBIR/STTR,2021,474061, ,NCI,305353,168708,474061
Dietary Carcinogens for Colorectal Cancer,10160852,10/16/2019 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,366000, ,NCI,228750,137250,366000
Toward development of senolytic CAR T cells,10161683,5/15/2020 0:00,2/28/2025 0:00,Non-SBIR/STTR,2021,539995, ,NIA,305082,234913,539995
Altered mRNA splicing dependent on mutant p53 identifies novel therapeutic vulnerability in pancreatic cancer,10161751,6/1/2020 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,245839, ,NCI,159522,86317,245839
Mutant p53 as actionable cancer-specific target,10162515,4/1/2013 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,344434, ,NCI,215946,128488,344434
Repurposing Atovaquone for Preventing Ovarian Cancer: An Example of Successful Inhibition of Oxidative Phosphorylation,10162548,5/11/2020 0:00,4/30/2025 0:00,Non-SBIR/STTR,2021,333718, ,NCI,217465,116253,333718
Development of Zinc Metallochaperones as Mutant p53 Targeted Anti-cancerDrugs,10163021,3/15/2016 0:00,2/28/2022 0:00,Non-SBIR/STTR,2020,394954, ,NCI,287537,107417,394954
Nuclear Accumulation of D-type Cyclins and Oncogenesis,10163129,7/1/2001 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,344138, ,NCI,213750,130388,344138
PROTAC Targeting of Tip60 in Syngeneic Cancer Models Using Cereblon Knock-in Mice,10163146,7/1/2020 0:00,6/30/2025 0:00,Non-SBIR/STTR,2021,399051, ,NCI,265763,133288,399051
Enhancing Global Diversity in Cancer Clinical Genetics,10164921,9/18/2017 0:00,8/31/2022 0:00,Non-SBIR/STTR,2020,177651, ,NCI,145637,32014,177651
Polypoid cell cycle regulation and genome instability,10165740,8/12/2015 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,318451, ,NIGMS,203425,115026,318451
Cancer Biology in the Zebrafish,10167640,7/3/2003 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,420375, ,NCI,237500,182875,420375
Project 1:  Recruitment of the BRCA1-associated Homologous Recombination Machinery,10169646,5/1/2021 0:00,4/30/2026 0:00,Non-SBIR/STTR,2021, ,390516, ,249000,141516, 
Core 1: Mouse and Cell Modeling,10169651,5/1/2021 0:00,4/30/2026 0:00,Non-SBIR/STTR,2021, ,257774, ,164362,93412, 
Activating p53 for colorectal cancer prevention,10170288,6/12/2018 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,424809, ,NCI,290176,134633,424809
Impact of RPS15 mutation on development and progression of chronic lymphocytic leukemia,10170297,7/1/2019 0:00,5/31/2022 0:00,"Training, Individual",2021,48883, ,NCI,48883,0,48883
Core B-Modeling & Experimental Therapeutics Core,10170994,12/1/2005 0:00,3/31/2026 0:00,Non-SBIR/STTR,2021, ,197102, ,121668,75434, 
Identifying Metabolic Vulnerabilities in Lung Cancer,10171098,6/25/2021 0:00,5/31/2026 0:00,Non-SBIR/STTR,2021,2060040, ,NCI,1250783,809257,2060040
Project 1,10171099,6/25/2021 0:00,5/31/2026 0:00,Non-SBIR/STTR,2021, ,237175, ,144004,93171, 
Project 3,10171101,6/25/2021 0:00,5/31/2026 0:00,Non-SBIR/STTR,2021, ,344951, ,209442,135509, 
Project 4,10171102,6/25/2021 0:00,5/31/2026 0:00,Non-SBIR/STTR,2021, ,341751, ,207499,134252, 
Exploiting WEE1/p53 synthetic lethality as a novel therapy in head and neck cancer,10171805,6/14/2017 0:00,3/31/2022 0:00,Non-SBIR/STTR,2021,166708, ,NCI,98277,68431,166708
Contributions of IDH1 mutation to alternative lengthening of telomeres in lower-grade glioma,10171926,9/15/2017 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,346719, ,NINDS,218750,127969,346719
Molecular Basis for Regulation of Cellular Stress Response Pathways by CBP/p300,10172869,7/1/2018 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,482214, ,NCI,249206,233008,482214
Role of therapy-related clonal hematopoiesis in anthracycline-induced cardiotoxicity,10172973,6/1/2020 0:00,4/30/2025 0:00,Non-SBIR/STTR,2021,403750, ,NHLBI,250000,153750,403750
53BP1-dependent pathway in DNA repair,10173714,6/14/2017 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,366000, ,NCI,228750,137250,366000
Regulation of tumor recurrence by stress activated neutrophils,10173724,6/1/2020 0:00,5/31/2025 0:00,Non-SBIR/STTR,2021,586051, ,NCI,369056,216995,586051
Targeting apoptosis in high-risk AML and MDS with BCL-2 inhibitor Venetoclax and optimized 10-day Decitabine regimen,10174866,6/17/2019 0:00,5/31/2024 0:00,Non-SBIR/STTR,2021,374788, ,NCI,299150,75638,374788
Mechanism of Therapy in high-risk AML,10176429,7/1/2020 0:00,6/30/2025 0:00,Non-SBIR/STTR,2021,488415, ,NCI,307179,181236,488415
Understanding the role of TP53 mutation in genetic susceptibility to ovarian cancer,10180577,4/1/2021 0:00,3/31/2026 0:00,Non-SBIR/STTR,2021,528617, ,NCI,348760,179857,528617
Supernumerary Centrosomes and Cell Proliferation,10180660,3/1/2021 0:00,2/28/2026 0:00,Non-SBIR/STTR,2021,493349, ,NCI,294537,198812,493349
Perivascular niche for salivary gland cancer stem cells and resistance to therapy,10180934,2/10/2011 0:00,2/28/2022 0:00,Non-SBIR/STTR,2021,368125, ,NIDCR,237500,130625,368125
The Role of the Microenvironment in Barrett's Esophagus,10183175,9/26/2011 0:00,10/31/2023 0:00,Research Centers,2021,1145406, ,NCI,1095006,264079,1145406
Project 2: Characterization of microenvironmental drivers of neoplasia in BE,10183179,9/26/2011 0:00,10/31/2023 0:00,Research Centers,2021, ,194061, ,194061,0, 
Development of tools for site-directed analysis of gene function,10185650,6/1/2016 0:00,2/29/2024 0:00,Other Research-Related,2020,31160, ,OD,23028,8132,31160
ATR Dependency as a Novel Therapeutic Target in Lethal RB Deficient ProstateCancer,10186723,6/8/2020 0:00,5/31/2025 0:00,Non-SBIR/STTR,2021,367506, ,NCI,228750,138756,367506
Y-Box 1 and normoxic HIF1 in Sonic hedgehog medulloblastoma tumor stem cell radiation resistance,10186839,9/1/2019 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,341499, ,NINDS,226762,114737,341499
Project 1: Elucidating the genetics and cell of origin of pancreatic cancer initiation,10187125,8/1/2021 0:00,7/31/2026 0:00,Non-SBIR/STTR,2021, ,438027, ,269763,168264, 
Project 3: Impact of tumor genetics on PDAC immunobiology and responses to macrophage-targeted immunotherapy,10187127,8/1/2021 0:00,7/31/2026 0:00,Non-SBIR/STTR,2021, ,443282, ,272999,170283, 
A Potent and Specific Approach to Targeting B-Cell Lymphoma: Disrupting Malignant Protein-Protein Interactions Using CD19-Targeted Stapled Peptide Amphiphile Nanoparticles,10187524,7/1/2017 0:00,6/30/2022 0:00,"Training, Individual",2021,51036, ,NCI,51036, ,51036
Regulation of tumor suppression by alpha-ketoglutarate,10187535,9/1/2020 0:00,5/31/2025 0:00,Non-SBIR/STTR,2021,489205, ,NCI,276387,212818,489205
The Role of Mutant p53 in Regulating T-cell Immune Evasion in Pancreatic Adenocarcinoma and Other Cancers,10189491,6/1/2020 0:00,5/31/2023 0:00,"Training, Individual",2021,33541, ,NCI,33541, ,33541
Alterations in fatty acid metabolism in the pathogenesis of leukemic stem cells from Acute Myeloid Leukemia patients,10189497,7/1/2020 0:00,6/30/2025 0:00,"Training, Individual",2021,34353, ,NCI,34353, ,34353
Fluorinated macrocyclic peptides as BBB penetrating agent for improved GBM treatment,10189534,7/4/2019 0:00,9/1/2021 0:00,Non-SBIR/STTR,2021,158415, ,NCI,83774,74641,158415
CRL3KEAP1 complex licenses genotoxic stress-induced tumor cell death,10189885,4/1/2021 0:00,3/31/2023 0:00,Non-SBIR/STTR,2021,182909, ,NCI,116875,66034,182909
Genetic and Epigenetic Biomarkers for B-cell Lymphoma,10190849,1/1/2020 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,368288, ,NCI,228750,139538,368288
Synthetic lethality based combination approaches to ARID1A mutation in ovarian cancer,10192683,7/18/2019 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,509794, ,NCI,285439,224355,509794
Exploring mechanisms of therapeutic demethylation effects in HPV-associated head and neck cancer,10192704,6/1/2019 0:00,7/31/2024 0:00,Non-SBIR/STTR,2021,404678, ,NIDCR,315521,89157,404678
Project 1 - Molecular Determinants of Decitabine Responses.,10194399,9/3/2013 0:00,6/30/2023 0:00,Research Centers,2021, ,276134, ,203404,86180, 
Targeting the TGIF/Twist1 network in osteosarcoma,10194400,3/15/2017 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,354563, ,NCI,228750,125813,354563
Project 2 - Targeted Therapies for T-ALL.,10194401,9/3/2013 0:00,6/30/2023 0:00,Research Centers,2021, ,276193, ,194885,94758, 
Predicting Breast Cancer Risk after Benign Percutaneous Biopsy,10194417,7/5/2018 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,637416, ,NCI,560173,77243,637416
Role of CCN6 (WISP3) in the progression and metastasis of breast cancer,10196959,9/1/2008 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,370500, ,NCI,237500,133000,370500
"SENP6, a novel p53 negative regulator, is an important new player in cancer",10197830,7/1/2018 0:00,6/30/2022 0:00,Non-SBIR/STTR,2021,363713, ,NCI,228750,134963,363713
PPM1D in Clonal Hematopoiesis and Malignancies,10197856,7/1/2019 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,599632, ,NCI,415076,184556,599632
Targeting p53 conformational defects to arrest carcinogenesis,10197860,7/1/2019 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,356850, ,NCI,228750,128100,356850
Epithelial-Mesenchymal Interactions in Pulmonary Fibrosis and Chronic Allograft Dysfunction (CLAD),10197999,8/1/2012 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,2368307, ,NHLBI,1666122,702185,2368307
Mesenchymal Cell Dysfunction in Fibroproliferative Lung Disease,10198011,8/1/2012 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021, ,510000, ,300000,210000, 
"P53, DNA Repair Imbalance, and Immune Response in Breast Cancer Mortality Disparities",10198123,4/6/2021 0:00,3/31/2026 0:00,Non-SBIR/STTR,2021,597226, ,NCI,391413,205813,597226
Chemo-neoepitopes as novel immunotherapy for triple negative breast cancer,10198213,5/1/2021 0:00,4/30/2024 0:00,Non-SBIR/STTR,2021,466702, ,NCI,329084,137618,466702
RNASEH2B loss to predict response to PARP inhibitor in prostate cancer,10199307,5/10/2021 0:00,4/30/2023 0:00,Non-SBIR/STTR,2021,251048, ,NCI,140250,110798,251048
Exploration of Novel Mutation Biomarkers to Repurpose EGFRi for Mutant KRAS Colorectal Cancer,10199678,7/15/2021 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,221771, ,NCI,148984,72787,221771
Improving post-surgery recovery of failing hearts by targeting cardiomyocyte senescence,10199774,9/1/2018 0:00,7/31/2023 0:00,Non-SBIR/STTR,2021,430115, ,NHLBI,265503,164612,430115
Target MDM2/MDMX for reducing normal tissue toxicity induced by chemotherapy,10200710,5/10/2019 0:00,4/30/2025 0:00,Non-SBIR/STTR,2021,364856, ,NCI,228750,136106,364856
Sensitizing High Grade Serous Cancers to Immunotherapy through the Induction of DNA Damage,10200717,7/1/2020 0:00,6/30/2025 0:00,Non-SBIR/STTR,2021,356850, ,NCI,228750,128100,356850
The role of autophagy in the escape from replicative crisis and tumorigenesis,10200720,7/1/2020 0:00,4/30/2023 0:00,Other Research-Related,2021,163080, ,NCI,151000,12080,163080
Statistical methods for cancer progression delineation and subtype identification,10201322,7/1/2021 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,74902, ,NCI,50000,24902,74902
P63 Mechanisms and mediators in HNSCC,10201563,4/1/2004 0:00,7/31/2023 0:00,Non-SBIR/STTR,2021,398493, ,NIDCR,237500,160993,398493
Estrogen reduces HPV transcription and oncogene expression to target disease,10201571,7/1/2020 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,147488, ,NIDCR,95000,52488,147488
Origins and functions of pancreatic cancer-associated fibroblasts,10201935,5/1/2021 0:00,4/30/2026 0:00,Non-SBIR/STTR,2021,355498, ,NCI,233131,122367,355498
Study of Interleukin 33 as a new immunotherapy of lung cancer,10202507,7/1/2019 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,355409, ,NCI,228750,126659,355409
Targeting HER2-low breast cancer with 17p loss,10203209,4/1/2016 0:00,4/30/2026 0:00,Non-SBIR/STTR,2021,535448, ,NCI,337822,197626,535448
Regulation of Ferroptosis by the p53/CDK/Rb Axis.,10203213,6/1/2021 0:00,5/31/2024 0:00,Non-SBIR/STTR,2021,451500, ,NIGMS,300000,151500,451500
Ensemble Networks for Allosteric Drug Design,10203327,6/1/2018 0:00,8/31/2024 0:00,Non-SBIR/STTR,2021,492900, ,NIGMS,300000,192900,492900
The Role of RNA Editing in the DNMTi-induced interferon response in ovarian cancer,10203828,7/1/2020 0:00,6/30/2023 0:00,"Training, Individual",2021,34416, ,NCI,34416, ,34416
Project 4: Therapeutic Targeting of Replication Stress Vulnerabilities in Small Cell Lung Cancer,10203845,9/5/1997 0:00,8/31/2025 0:00,Research Centers,2021, ,463389, ,365176,98213, 
Project 1: The Role and Mechanism(s) of MUC16 and MUC16-Cter in Potentiating PC Metastasis,10203862,6/8/2018 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021, ,315252, ,207500,107752, 
Core 2: Animal Model and Experimental Therapeutics Core [AMETC],10203866,6/8/2018 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021, ,253150, ,166000,87150, 
Deregulation of COMPASS complex and enhancer chromatin in pancreatic cancer,10203868,7/1/2018 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,364856, ,NCI,228750,136106,364856
Investigating immune-microbiota interaction in lung cancer,10203872,7/1/2020 0:00,6/30/2023 0:00,Non-SBIR/STTR,2021,249000, ,NCI,153231,95769,249000
Mechanism and oncogenic role of lysine demethylase KDM5B in prostate cancer,10204747,9/30/1997 0:00,9/20/2022 0:00,Research Centers,2021, ,277334, ,195972,81362, 
Mechanism and oncogenic role of lysine demethylase KDM5B in prostate cancer,10204766,9/30/1997 0:00,6/30/2022 0:00,Research Centers,2020, ,41756, ,30140,11616, 
Mechanism and oncogenic role of lysine demethylase KDM5B in prostate cancer,10204767,9/30/1997 0:00,6/30/2022 0:00,Research Centers,2020, ,41275, ,28368,12907, 
Targeting Mutant KRAS for Cancer Therapy,10204898,3/1/2016 0:00,5/31/2023 0:00,Non-SBIR/STTR,2021,839300, ,NCI,606117,233183,839300
Inflammation Induced Cytosine Deamination and the Initiation of Cancer,10206050,7/1/2018 0:00,6/30/2022 0:00,"Training, Individual",2021,35571, ,NCI,35571, ,35571
Analyzing the Hypersensitivity of MMR-deficient Colorectal Cancers to mTOR Inhibition and the Response of Cancer Stem Cells,10206624,4/1/2021 0:00,3/31/2026 0:00,Non-SBIR/STTR,2021,421847, ,NCI,268810,153037,421847
The role of a histone point mutation in pediatric gliomagenesis,10207450,6/29/2020 0:00,6/28/2023 0:00,"Training, Individual",2021,40352, ,NCI,40352, ,40352
Mechanisms and Vulnerabilities of  SWI/SNF chromatin remodeling complex mutant lung cancer,10207560,7/1/2020 0:00,6/30/2025 0:00,Non-SBIR/STTR,2021,472040, ,NCI,291383,180657,472040
Lentiviral-Induced Swine Model of Spinal Cord Glioma,10208273,6/1/2021 0:00,5/31/2026 0:00,Non-SBIR/STTR,2021,541702, ,NCI,369618,172084,541702
Anti-tumor potential of temperature-sensitive p53 mutants,10209252,3/1/2021 0:00,2/28/2026 0:00,Non-SBIR/STTR,2021,444590, ,NCI,269939,174651,444590
Project 3: Targeting Bax signaling to overcome treatment resistance in NSCLC,10210202,7/10/2019 0:00,5/31/2024 0:00,Research Centers,2021, ,338910, ,217329,121704, 
Functional Significance of individual p53 mutations in determining the role of estrogen receptor beta in triple negative breast cancer,10210801,3/1/2021 0:00,2/28/2026 0:00,Non-SBIR/STTR,2021,566906, ,NCI,388916,177990,566906
Role of TERRA in Telomere Maintenance and Telomere Stress Response,10210828,7/1/2010 0:00,1/31/2026 0:00,Non-SBIR/STTR,2021,434696, ,NCI,237500,197196,434696
Regulation of repetitive elements in cancer by P53 and epigenetic mechanisms,10211014,4/14/2021 0:00,3/31/2026 0:00,Non-SBIR/STTR,2021,382820, ,NCI,237040,145780,382820
03 Genetically Engineered Mouse Facility,10212251,8/28/1996 0:00,6/30/2024 0:00,Research Centers,2021, ,488083, ,305052,183031, 
25 Cancer Genetics and Epigenetics,10212264,8/28/1996 0:00,6/30/2024 0:00,Research Centers,2021, ,18707, ,11692,7015, 
06 Breast Cancer,10212269,8/28/1996 0:00,6/30/2024 0:00,Research Centers,2021, ,18707, ,11692,7015, 
Identifying Cooperating Mutations Contributing to Disease Progression in Mutant p53-Driven Breast Cancer,10212279,7/1/2020 0:00,4/30/2023 0:00,"Training, Individual",2021,33530, ,NCI,33530, ,33530
Improving Delivery of Genetic Services to High Risk Childhood Cancer Survivors: A Randomized Study of Remote Genetic Services Versus Usual Care,10212342,7/8/2020 0:00,6/30/2025 0:00,Non-SBIR/STTR,2021,694312, ,NCI,631695,62617,694312
Molecular basis of gene-specific function of p53K120 acetylation in proapoptotic gene transcription - Resubmission - 1,10212965,7/1/2020 0:00,6/30/2022 0:00,"Training, Individual",2021,72958, ,NCI,72958, ,72958
The intersection of RNA biology and tumor biology,10213661,8/12/2015 0:00,7/31/2022 0:00,Non-SBIR/STTR,2021,772204, ,NCI,482025,290179,772204
A chemical strategy to unravel tumor suppression through the ubiquitin pathway,10213787,8/5/2019 0:00,7/31/2024 0:00,Non-SBIR/STTR,2021,295800, ,NIGMS,195000,100800,295800
Mechanisms of Esophageal Carcinogenesis,10214543,8/15/2003 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021,1573148, ,NCI,1227677,345471,1573148
Project 1 - Transformed Esophageal Epithelial Cells and the Tumor Microenvironment,10214544,8/15/2003 0:00,6/30/2024 0:00,Non-SBIR/STTR,2021, ,167013, ,121961,45052, 
